"Asset Tag","Friendly Name","DSV Billed","DSV Circuit ID","DSV Contract End Date","DSV Currency","DSV Invoiced Freq","DSV Line Type","DSV Monthly Cost","DSV Port Speed","DSV Site","DSV Tail Speed","DSV Type",Vendor
32733,,False,,,,,Primary,0,,,,MPLS,
66230,,False,,,,,,0,,,,,
14109,"AE-Abu Dhabi_Office 1104 11th Floor ADCP Tower – B Electra Street - PRI - AE-AUH",False,GN98882,2019-02-28,EUR,Monthly,Primary,"1,967",2,"AE-Abu Dhabi_Office 1104, 11th Floor ADCP Tower – B Electra Street - AE-AUH",2,MPLS,"T-Mobile Czech Republic a.s. - WAN"
14934,"AE-Al Aweer_no address - PRI - No site id",True,,2020-12-31,AED,Quarterly,Primary,"1,375",-,"AE-Al Aweer_no address - No site id",-,"Local VPN","VPN Suppliers - multiple"
14932,"AE-Dubai_Business Bay - PRI - AE-DXB",True,,2020-12-31,AED,Quarterly,Secondary,"1,999",-,"AE-Dubai_Business Bay 31st Floor U- Bora Building - AE-DXB",-,"Local VPN","VPN Suppliers - multiple"
14106,"AE-Dubai_Business Bay 31st Floor U- Bora Building - PRI - AE-DXB",False,GN98878,2019-02-28,EUR,Monthly,Primary,"1,407",10,"AE-Dubai_Business Bay 31st Floor U- Bora Building - AE-DXB",-,MPLS,"T-Mobile Czech Republic a.s. - WAN"
15049,"AE-Dubai_Cargo Village Emirates P.O. Box 14194 - PRI - AE-DBX03",False,W0X74522,2017-10-31,USD,Monthly,Primary,165,,"AE-Dubai_Cargo Village Emirates P.O. Box 14194 - No site id",,MPLS,"Verizon Communications Singapore Pte. Lt"
14888,"AE-Dubai_Cargo Village Warehouse No. 1406 - PRI - AE-DCV",False,GN98880,2019-02-28,EUR,Monthly,Primary,"4,347",4,"AE-Dubai_Cargo Village Warehouse No. 1406 - AE-DCV",,MPLS,"T-Mobile Czech Republic a.s. - WAN"
14107,"AE-Dubai_Cargo Village Warehouse No. 1406 - PRI - AE-DCV",False,GN98880,2019-02-28,EUR,Monthly,Primary,597,1,"AE-Dubai_Cargo Village Warehouse No. 1406 - AE-DCV",2,MPLS,"T-Mobile Czech Republic a.s. - WAN"
14937,"AE-Jebal Ali_Dubai Warehouse 2 - PRI - AE-DWC",True,,2020-12-31,AED,Quarterly,Primary,"1,425",-,"AE-Jebal Ali_Dubai Warehouse 2 - AE-DWC",-,"Local VPN","VPN Suppliers - multiple"
14914,"AE-Jebal Ali_Free Zone Whse: B34BS10A Round About 6 (Gate 4) - PRI - AE-JEA",False,GN98881,2019-02-28,EUR,Monthly,Primary,"4,467",6,"AE-Jebal Ali_Free Zone Whse: B34BS10A Round About 6 (Gate 4) - AE-JEA",,MPLS,"T-Mobile Czech Republic a.s. - WAN"
14108,"AE-Jebal Ali_Free Zone Whse: B34BS10A Round About 6 (Gate 4) - PRI - AE-JEA",False,GN98881,2019-02-28,EUR,Monthly,Primary,517,2,"AE-Jebal Ali_Free Zone Whse: B34BS10A Round About 6 (Gate 4) - AE-JEA",5,MPLS,"T-Mobile Czech Republic a.s. - WAN"
14936,"AE-Ras Al Khor_ 17 Al Addin Container Company -  PRI - AE-DXB04",False,,2020-12-31,AED,Quarterly,Primary,"4,250",-,"AE-Ras Al Khor_ 17 Al Addin Container Company -  AE-DXB04",-,"Local VPN","VPN Suppliers - multiple"
14577,"AR-Buenos Aires_Estados Unidos 20/40 - PRI - AR-BUE",False,20170505-SITEMPLS-0000426947,,USD,Monthly,Primary,"2,461.42",10,"AR-Buenos Aires_Estados Unidos 20/40 - AR-BUE",100,MPLS,"Telefonica International Wholesale Servi"
14866,"AR-Buenos Aires_Estados Unidos 20/40 - SEC - AR-BUE",False,20170505-SITEMPLS-0000426947,,USD,Monthly,Secondary,0,10,"AR-Buenos Aires_Estados Unidos 20/40 - AR-BUE",100,MPLS,"Telefonica International Wholesale Servi"
30738,"AR-Codoba_Calle San Jeronimo 275 Piso 3 - PRI - AR-COR",True,,,,Monthly,Primary,0,,"AR-Codoba_Calle San Jeronimo 275 Piso 3 - AR-COR",,"Local VPN","VPN Suppliers - multiple"
14264,"AT-Arnoldstein_Gewerbestrasse 7 - PRI - AT-AOT",False,4088.011,2017-12-31,EUR,Monthly,Primary,"1,718",4,"AT-Arnoldstein_Gewerbestrasse 7 - AT-AOT",4,MPLS,"T-Systems Nordic A/S - WAN"
14265,"AT-Arnoldstein_Gewerbestrasse 7 - SEC - AT-AOT",False,4088.011,2017-12-31,EUR,Monthly,Secondary,0,4,"AT-Arnoldstein_Gewerbestrasse 7 - AT-AOT",4,MPLS,"T-Systems Nordic A/S - WAN"
14798,"AT-Graz/Werndorf_Am Terminal 4b 8402 - PRI - AT-GRZ",False,4088.10,2017-12-31,EUR,Monthly,Primary,429,2,"AT - Graz/Werndorf_Am Terminal 4b 8402 -  AT-GRZ",2,MPLS,"T-Systems Nordic A/S - WAN"
27031,"AT-Guntramsdorf_Industriestraße 35 - PRI - AT-GUN03",False,4088.23,2020-03-08,EUR,Monthly,Primary,871.59,6,"AT-Guntramsdorf_Industriestraße 35 - AT-GUN03",10,MPLS,"T-Systems Nordic A/S - WAN"
27032,"AT-Guntramsdorf_Industriestraße 35 - SEC - AT-GUN03",False,4088.23,2019-03-07,EUR,Monthly,Secondary,602.04,6,"AT-Guntramsdorf_Industriestraße 35 - AT-GUN03",10,MPLS,"T-Systems Nordic A/S - WAN"
