Country,City,Name,"SiteCode","White Collars Count","Blue Collars Count","Last User Count Update","Air Sea Office","Solution Office",Status,Description,"WAN Desc","WANServiceClassification","Zip Code",RecID,Adress,Classification,Region,"Road Office"
,.Herzliya,"IL - Herzliya_Ha-Sadna'ot St 10 - XXX",,0,0,,False,False,Active,,,,,942cd41942d90072db9c4245f186a7c411ba690d86,"Ha-Sadna'ot St 10",,,False
,,"ZA-Midrand_311 15th Road - ZA-MRD03",ZA-MRD03,1,3,2018-06-06,False,False,Active,"Sales offices with limited operational activities:\r\n*Users: 10-50\r\nSite contact on call during local business hours",,,1684,94412bf7c18761f32ed16f49d781c762d280850524,"311 15th Road",C,AFRI,False
,Koninko,"PL-Koninko_Drukarska 59 - PL-KRI",PL-KRI,20,50,"2018-10-22 10:05",False,True,Active,"Loss of productivity/activities having an impact on business:\r\n*Sales offices, \r\n*Warehouses with operational activities within or close to normal business hours\r\n*Users: 50-100\r\nSite contacts on call during local business hours + weekends local business hours","MPLS and Internet, no guarantee for full diversity",Gold(I),62-023,9441bac07c011d53f9e5564dfa8d0e899ae988b835,"Drukarska 59",B,,False
Argentina,Cordoba,"AR-Codoba_Calle San Jeronimo 275 Piso 3 - AR-COR",AR-COR,0,0,,False,False,Active,,,,4000,943546edb55ecda1620c8f4327bf3572d1e38b629d,"Calle San Jeronimo 275 Piso 3 Ofic",,AMER,False
Argentina,"BUENOS AIRES","AR-Buenos Aires_Estados Unidos 20/40 - AR-BUE",AR-BUE,90,0,2017-04-06,True,False,Active,,,,C1101,9424b309f075d55264cda14740930b15e61500e23b,"Estados Unidos 20/40 piso 6",,AMER,False
Australia,Brisbane,"AU - Brisbane_1/34 Navigator Place Hendra -  AU-BNE03",AU-BNE03,25,0,"2017-03-23 13:41",True,False,Active,,,,4014,9423f93d13b9f48ba91be64f9399f882a8ee135277,"1/34 Navigator Place, Hendra",,APAC,False
Australia,Melbourne,"AU-Melbourne_95-99 South Centre Road Melbourne Airport - AU-MEL",AU-MEL,0,0,,False,False,Active,,,,,9422e4d660566603beadb443778f041e9104ea8b06,"95-99 South Centre Road Melbourne Airport",,APAC,False
Australia,Adelaide,"AU-Adelaide_Unit 1  7 Circuit Drive - AU-ADL",AU-ADL,0,0,,False,False,Active,,,,5014,9422e4ecbddf084d8c32494c3b8531c9088999b5c5,"Unit 1  7 Circuit Drive",,APAC,False
Australia,Brisbane,"AU-Brisbane_3/73 Wentworth Place Banyo - PRI - AU-BNE",AU-BNE,0,0,,False,False,Active,,,,4014,9422e4f50201da019024d24b30bd0f1703f805d3f8,"3/73 Wentworth Place Banyo",,APAC,False
Australia,Perth,"AU-Perth_16-18 Thorpe Close Welshpool - AU-PER",AU-PER,0,0,,False,False,Active,,,,6106,9422e5022f9b89c4b7754f4778ab22f2277c8ef0ad,"16-18 Thorpe Close Welshpool",,APAC,False
Australia,Sydney,"AU-Sydney - Preminum DIA Fixed Sydney",N/A,0,0,,False,False,Active,,,,-,9423ed3a2705e191e562694d4397e6960584e9a4e4,"Preminum - DIA FIXED",,APAC,False
Australia,Sydney,"AU-Sydney - IP VPN Global GW Port Sydney and Melbourne - PRI",AU-MEL,0,0,,False,False,Active,,,,-,9423ed3d08a459fd86583b4541b43542c4cfdf36f0,"IP VPN Global GW Port Sydney and Melbourne",,APAC,False
Australia,Sydney,"AU-Sydney_Unit A2, 2-8 McPherson Street Banksmeadow New South Wales -  AU-BMO",AU-BMO,37,6,2014-12-04,True,True,Active,,,,2019,94220fb9947ece7995c6544cfaa9fc401c49cfca25,"Unit A2, 2-8 McPherson Street, Banksmeadow, New South Wales",,APAC,True
Australia,Perth,"AU-Perth_Level 1 Suite 14 Century Estate 51-53 Kewdale Road Welshpoo - AU-PER",AU-PER,7,0,2014-12-04,True,True,Active,,,,6106,94220fdbd0874936d633d34fedb65d17277585adc1,"Level 1, Suite 14 Century Estate, 51-53 Kewdale Road, Welshpool, West Australia",,APAC,True
Australia,Sydney,"AU-Sydney_Site 2 283 Coward Street Airgate Business Park Mascot -  AU-SYD02",AU-SYD02,0,0,,False,False,Active,,,,2020,94220ffa02b62ab1d3f0ac4a158bb9f94d0a8eb9ee,"Site 2, 283 Coward Street, Airgate Business Park, Mascot",,APAC,False
Australia,Sydney,"AU-Sydney_Lot 3D – Oakdale Central Horsley Park Millner Avenue - AU-SYD05",AU-SYD05,8,12,2016-09-16,False,False,Active,,,,2175,94221e61c0c7fdaec49c604034b1c71c96536452e5,"Oakdale Central Horsley Park Millner Avenue",,APAC,False
Australia,Sydney,"AU-Sydney_Optus DC 549 Harris Street - AU-SYD03",AU-SYD03,0,0,,False,False,Active,,,,2007,942613b547651dd8a2f61c4dc4bf3c0047895de882,"Optus Data Centre, 549 Harris Street, Ultimo, Sydney, New South Wales, 2007",,APAC,False
Australia,Sydney,"AU-Sydney_SIG APAC - AU-SYD03",AU-SYD03,0,0,,False,False,Active,,,,N/A,942614a709283a207029034ecd990fed75675adcfa,"Sydney SIG APAC, Level, 55 Pyrmont Bridge",,APAC,False
Austria,Guntramsdorf,"AT-Guntramsdorf_Industriestraße 35 - AT-GUN03",AT-GUN03,15,4,"2018-01-02 10:27",False,False,Active,,,,2353,9432a4c78af102dfe072f94fb8aa2d77d720d7531c,"Industriestraße 35",,EMEA,False
Austria,Werndorf,"AT-Graz/Werndorf_Am Terminal 4b 8402 -  AT-GRZ",AT-GRZ,6,0,"2017-06-09 10:31",False,True,Active,,,,8402,9423eb28a9af79af0f60ec477d95da8716d382e8d9,"Am Terminal 4b 8402 Graz/Werndorf",,EMEA,True
Austria,Arnoldstein,"AT-Arnoldstein_Gewerbestrasse 7 - AT-AOT",AT-AOT,14,5,2017-06-09,False,False,Active,,,,79601,9421805ff8da0ddcafb25041219a44e7f39a3efdac,"Gewerbestrasse 7",,EMEA,False
Austria,Hörsching,"AT-Hörsching_Flughafenstrasse 1 - AT-HRH",AT-HRH,1,3,"2017-06-09 10:29",False,False,Active,,,,4063,9421806d16d3a4f188c4064e95a364f51b8853bced,"Flughafenstrasse 1",,EMEA,False
Austria,Hörsching,"AT-Hörsching_Flughafenstrasse 3 - AT-HRH02",AT-HRH02,15,2,"2017-06-09 10:30",False,False,Active,,,,4063,94218073c7f1e9dc82a27940588fd3ed0d3aa11ab4,"Flughafenstrasse 3",,EMEA,False
Austria,Suben,"AT-Suben_Etzelshofen 14 - AT-SUB",AT-SUB,71,22,"2017-06-09 10:33",False,True,Active,,,,4975,94218097905f63a2e76e1d488c8e5ed431b6e1d26c,"Etzelshofen 14",,EMEA,True
Austria,Guntramsdorf,"AT-Guntramsdorf_TVS Strasse 2 - AT-GUN02",AT-GUN02,12,0,2015-11-01,False,False,Active,,,,2353,942180a0655051a0ba743840ac8e5fb5c633656fa3,"TVS Strasse 2",,EMEA,False
Austria,Schwechat,"AT-Schwechat_Concorde Business Park 1/B - AT-SHT02",AT-SHT02,14,0,"2017-06-09 10:32",False,False,Active,,,,2320,942180a8cbfa52dd3795c44a1e8b779497e4668d60,"Concorde Business Park 1/B",,EMEA,False
Bangladesh,Dhaka,"BD-Dhaka Warehouse_Sector-12_Uttara - BD-DAC02",BD-DAC02,10,3,"2017-12-04 09:55",True,False,Active,,,,1230,94312628ac6734818d4ddf44918574149329214ed9,"599/6, Sector- 12,Nolvog main road, Turag thana,Rupayan City Uttara,",,APAC,False
Bangladesh,Chittagong,"BD-Chittagong_Shahjadi Chamber - BD-CGP",BD-CGP,0,0,,True,False,Active,,,,4100,942b61846264aa76cf3db64e94aa641d3398b03574,"Shahjadi Chamber (6th floor), 1331/B, Sheikh Mujib Road, Agrabd C/A,",,APAC,False
Bangladesh,Dhaka,"BD-Dhaka_15th Floor 50 Bay Tower Mohakhali - BD-DHC",BD-DHC,0,0,,False,False,Active,,,,1212,942614bc0f02e9362181e64afea05582e30af9647c,"15th Floor, 50 Bay Tower, Mohakhali, Dhaka,",,APAC,False
Belarus,Minsk,"BY-Minsk_Lipkovskaya str. 9/5 - PRI - BY-MSQ",BY-MSQ,0,0,,False,False,Active,,,,220138,9428a7e949d4df07db666b41b0a41ee3339b186abc,"Lipkovskaya str. 9/5 office 33",,EMEA,False
Belarus,Gomel,"BY-Gomel_6 Vladimirova str - BY-GME",BY-GME,6,1,"2018-01-30 14:06",False,False,Active,,,,0000,943417ee5f3092f70a0e2c4c61b5c7e2ca667b5c54,"Vladimirova str., 6",,EMEA,True
